config,res,time,Y_Wscale,Y_Pscale,Y_EVI
DEFAULT,_54km,2012-09-21 12:00:00,0.14032120485716074,-0.0757879215633856,-0.16669869357349112
ALPS,_54km,2012-09-21 13:00:00,0.10379845829289973,-0.07725589375615848,-0.1619541914127131
DEFAULT,_54km,2012-09-21 13:00:00,0.15302667438180914,-0.08211031910661765,-0.16246074916239828
ALPS,_54km,2012-09-21 14:00:00,0.10619519333254393,-0.06784311600152418,-0.15219641432396247
DEFAULT,_54km,2012-09-21 14:00:00,0.15036297604985743,-0.07195047719085865,-0.15220078695055736
ALPS,_54km,2012-09-21 15:00:00,0.09771294005274911,-0.051449338135335754,-0.12351669814634739
DEFAULT,_54km,2012-09-21 15:00:00,0.12200860134431264,-0.05518330932672955,-0.1228240949825211
ALPS,_54km,2012-09-21 16:00:00,0.07137970360617517,-0.039145765625618195,-0.07217920189620057
DEFAULT,_54km,2012-09-21 16:00:00,0.07283368922956483,-0.042034415388880086,-0.07404658421271568
ALPS,_54km,2012-09-21 17:00:00,0.004451062623943241,-0.005038145557566881,-0.003292247132544404
DEFAULT,_54km,2012-09-21 17:00:00,0.004752290819232676,-0.00500805345231117,-0.004164130407172029
ALPS,_54km,2012-09-21 18:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-09-21 18:00:00,0.0,0.0,0.0
ALPS,_54km,2012-09-21 19:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-09-21 19:00:00,0.0,0.0,0.0
ALPS,_54km,2012-09-21 20:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-09-21 20:00:00,0.0,0.0,0.0
ALPS,_54km,2012-09-21 21:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-09-21 21:00:00,0.0,0.0,0.0
ALPS,_54km,2012-09-21 22:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-09-21 22:00:00,0.0,0.0,0.0
ALPS,_54km,2012-09-21 23:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-09-21 23:00:00,0.0,0.0,0.0
ALPS,_54km,2012-10-20 00:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-10-20 00:00:00,0.0,0.0,0.0
ALPS,_54km,2012-10-20 01:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-10-20 01:00:00,0.0,0.0,0.0
ALPS,_54km,2012-10-20 02:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-10-20 02:00:00,0.0,0.0,0.0
ALPS,_54km,2012-10-20 03:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-10-20 03:00:00,0.0,0.0,0.0
