config,res,time,Y_Wscale,Y_Pscale,Y_EVI
DEFAULT,_54km,2012-05-16 21:00:00,0.0,0.0,0.0
ALPS,_54km,2012-05-16 22:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-05-16 22:00:00,0.0,0.0,0.0
ALPS,_54km,2012-05-16 23:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-05-16 23:00:00,0.0,0.0,0.0
ALPS,_54km,2012-06-10 00:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-06-10 00:00:00,0.0,0.0,0.0
ALPS,_54km,2012-06-10 01:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-06-10 01:00:00,0.0,0.0,0.0
ALPS,_54km,2012-06-10 02:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-06-10 02:00:00,0.0,0.0,0.0
ALPS,_54km,2012-06-10 03:00:00,0.0,0.0,0.0
DEFAULT,_54km,2012-06-10 03:00:00,0.0,0.0,0.0
ALPS,_54km,2012-06-10 04:00:00,0.04364539793026072,0.01439359120517712,-0.015225962164118794
DEFAULT,_54km,2012-06-10 04:00:00,0.04313922464290836,0.01379822728701319,-0.02084273043622993
ALPS,_54km,2012-06-10 05:00:00,0.1263088330168121,0.043889673631103396,-0.052096703942390354
DEFAULT,_54km,2012-06-10 05:00:00,0.1283417734278125,0.042961189463233095,-0.06717007499219464
ALPS,_54km,2012-06-10 06:00:00,0.11354506707110527,0.06397399879540916,-0.08826692709628568
DEFAULT,_54km,2012-06-10 06:00:00,0.12151744689732145,0.061488384971652814,-0.09537726552717016
ALPS,_54km,2012-06-10 07:00:00,0.14781224590202333,0.08202948688845313,-0.11468842056245396
DEFAULT,_54km,2012-06-10 07:00:00,0.15527242953276288,0.0783479127355234,-0.11503424516427382
ALPS,_54km,2012-06-10 08:00:00,0.19335839409965713,0.10030526829612484,-0.13598632753588313
DEFAULT,_54km,2012-06-10 08:00:00,0.20828813128112814,0.09703808715042879,-0.12913808951805986
ALPS,_54km,2012-06-10 09:00:00,0.2516866410021204,0.11611189691487034,-0.14681869800404243
DEFAULT,_54km,2012-06-10 09:00:00,0.2684784681430196,0.1130022376732466,-0.13861149706961925
ALPS,_54km,2012-06-10 10:00:00,0.2794915123884372,0.12547064905297647,-0.16101105459947904
DEFAULT,_54km,2012-06-10 10:00:00,0.2967457840954061,0.12184546962292717,-0.1521935981418375
ALPS,_54km,2012-06-10 11:00:00,0.2943893798904764,0.13226357129307728,-0.1757610440568085
DEFAULT,_54km,2012-06-10 11:00:00,0.3182905705037038,0.12905485772841369,-0.16468720001266454
ALPS,_54km,2012-06-10 12:00:00,0.30278081724172784,0.13922784011179623,-0.19303703516081466
DEFAULT,_54km,2012-06-10 12:00:00,0.33893062052032025,0.13704473581391768,-0.18538147143341716
ALPS,_54km,2012-06-10 13:00:00,0.3098118677597786,0.14221293836752222,-0.20017200497417403
DEFAULT,_54km,2012-06-10 13:00:00,0.34878609734248134,0.13958674899616216,-0.19242081432130675
ALPS,_54km,2012-06-10 14:00:00,0.307279035006361,0.14000752472410705,-0.20131869397895638
DEFAULT,_54km,2012-06-10 14:00:00,0.3419929197578973,0.13614134657981025,-0.1898859710384887
ALPS,_54km,2012-06-10 15:00:00,0.3040965292253545,0.14338151725674378,-0.1856526548835864
DEFAULT,_54km,2012-06-10 15:00:00,0.3337936941453253,0.1365464547314929,-0.17716928277325705
ALPS,_54km,2012-06-10 16:00:00,0.27623496310478995,0.1294175180816816,-0.13826633403187505
DEFAULT,_54km,2012-06-10 16:00:00,0.30644009336570227,0.12103501190334366,-0.13122530973848004
